timestamp,data_loss,physics_loss
1768402437.7378707,0.001201,0.000018
1768402438.3194928,0.001184,0.000020
1768402438.3198078,0.002624,0.000015
1768402438.3204575,0.001754,0.000016
1768402438.3207304,0.001632,0.000016
1768402438.8992217,0.001902,0.000017
1768402438.899714,0.001579,0.000017
1768402438.8999746,0.002011,0.000018
1768402438.9000077,0.002338,0.000016
1768402439.480151,0.002016,0.000017
1768402439.4803424,0.002341,0.000016
1768402439.4806607,0.001216,0.000018
1768402439.4820025,0.001616,0.000017
1768402440.0633202,0.001241,0.000018
1768402440.0638704,0.001221,0.000017
1768402440.0645182,0.001959,0.000017
1768402440.0647428,0.001818,0.000018
1768402440.6482058,0.001727,0.000018
1768402440.6486573,0.001659,0.000017
1768402440.649747,0.001829,0.000017
1768402440.6510599,0.001679,0.000017
1768402441.2337725,0.001206,0.000019
1768402441.2358086,0.001918,0.000018
1768402441.2363877,0.002594,0.000017
1768402441.2382457,0.001757,0.000016
1768402441.8207252,0.001275,0.000018
1768402441.8226597,0.002345,0.000017
1768402441.8229885,0.002454,0.000016
1768402441.8235173,0.002469,0.000016
1768402442.4037936,0.001214,0.000020
1768402442.4042833,0.001157,0.000019
1768402442.405117,0.001265,0.000018
1768402442.405372,0.001872,0.000019
1768402442.9858248,0.001635,0.000016
1768402442.9862056,0.001250,0.000019
1768402442.9870956,0.002271,0.000016
1768402442.989629,0.001113,0.000017
1768402443.5708692,0.001947,0.000016
1768402443.5710597,0.001786,0.000016
1768402443.5713744,0.001951,0.000018
1768402443.5725226,0.001819,0.000017
1768402444.1518466,0.002191,0.000016
1768402444.1527205,0.002356,0.000016
1768402444.1527312,0.001250,0.000018
1768402444.15292,0.001846,0.000017
1768402444.7341115,0.001985,0.000018
1768402444.7343242,0.001824,0.000017
1768402444.7351584,0.001956,0.000017
1768402444.7360346,0.001353,0.000020
1768402445.3154712,0.002469,0.000016
1768402445.3161392,0.001235,0.000018
1768402445.3162644,0.001955,0.000017
1768402445.3170266,0.002258,0.000016
1768402445.8992271,0.001853,0.000017
1768402445.8994575,0.001255,0.000019
1768402445.899636,0.001854,0.000018
1768402445.8998344,0.001727,0.000018
1768402446.4776511,0.001218,0.000019
1768402446.4779797,0.002020,0.000018
1768402446.4779909,0.002361,0.000016
1768402446.480196,0.001598,0.000017
1768402447.0607471,0.001838,0.000017
1768402447.0610151,0.001759,0.000017
1768402447.0610192,0.002258,0.000015
1768402447.0619185,0.001835,0.000018
1768402447.6397705,0.002376,0.000015
1768402447.6402373,0.002230,0.000016
1768402447.6407905,0.001266,0.000018
1768402447.6410801,0.001938,0.000018
1768402448.2212057,0.002354,0.000016
1768402448.2212672,0.001872,0.000017
1768402448.2212946,0.001395,0.000018
1768402448.224564,0.001815,0.000017
1768402448.806523,0.001727,0.000016
1768402448.806542,0.001756,0.000017
1768402448.8077257,0.001833,0.000018
1768402448.8080451,0.001731,0.000016
1768402449.3923523,0.002450,0.000016
1768402449.3931532,0.001422,0.000020
1768402449.3933842,0.001900,0.000017
1768402449.393493,0.001729,0.000017
1768402449.9741418,0.001813,0.000018
1768402449.974566,0.002545,0.000016
1768402449.977915,0.001856,0.000018
1768402449.977984,0.001654,0.000018
1768402450.5582063,0.001832,0.000016
1768402450.5583117,0.001254,0.000018
1768402450.5584378,0.001307,0.000020
1768402450.558856,0.001199,0.000019
1768402451.139071,0.001709,0.000018
1768402451.1420207,0.001152,0.000019
1768402451.1422086,0.001296,0.000018
1768402451.1427166,0.001801,0.000017
1768402451.723403,0.002011,0.000017
1768402451.7234523,0.001785,0.000017
1768402451.7248785,0.001877,0.000018
1768402451.725133,0.001678,0.000017
1768402452.3031213,0.001283,0.000018
1768402452.3036313,0.001941,0.000017
1768402452.30364,0.001815,0.000016
1768402452.303798,0.001294,0.000018
1768402452.881801,0.001276,0.000019
1768402452.8820114,0.001752,0.000017
1768402452.8820298,0.001765,0.000016
1768402452.8830037,0.001813,0.000018
1768402453.466509,0.001603,0.000017
1768402453.4665468,0.001937,0.000017
1768402453.4678173,0.001196,0.000019
1768402453.4684014,0.001425,0.000020
1768402454.0573697,0.001595,0.000016
1768402454.057885,0.001668,0.000017
1768402454.0582607,0.001265,0.000018
1768402454.0585365,0.001714,0.000018
1768402455.4736295,0.002140,0.000018
1768402455.75773,0.002364,0.000018
1768402455.7581153,0.002133,0.000018
1768402455.759619,0.002322,0.000018
1768402455.8605437,0.002140,0.000018
1768402456.0511706,0.002434,0.000018
1768402456.051225,0.002204,0.000018
1768402456.0564892,0.002026,0.000019
1768402458.5277338,0.002211,0.000019
1768402459.0006576,0.002634,0.000018
1768402459.0023367,0.002096,0.000019
1768402459.002961,0.002192,0.000018
1768402459.5725029,0.002114,0.000018
1768402459.9062347,0.002391,0.000019
1768402459.9063232,0.002114,0.000020
1768402459.9086695,0.001963,0.000018
1768402460.0239575,0.002305,0.000018
1768402460.3714786,0.002260,0.000017
1768402460.3716772,0.002219,0.000020
1768402460.3749833,0.001982,0.000018
1768402461.0806477,0.002116,0.000018
1768402461.4511807,0.002018,0.000019
1768402461.4516337,0.002366,0.000018
1768402461.4517026,0.002334,0.000018
1768402461.7826028,0.002194,0.000018
1768402462.1324055,0.002263,0.000018
1768402462.1326137,0.002243,0.000019
1768402462.1344118,0.002230,0.000017
1768402462.683152,0.001978,0.000019
1768402463.0428295,0.002328,0.000018
1768402463.0428345,0.002392,0.000018
1768402463.0469058,0.002090,0.000018
1768402463.2961283,0.002030,0.000018
1768402463.6133423,0.002383,0.000018
1768402463.6149611,0.002378,0.000018
1768402463.6177177,0.002198,0.000019
1768402463.6848917,0.002184,0.000018
1768402463.9980829,0.002184,0.000018
1768402463.998105,0.002455,0.000018
1768402464.0000925,0.002023,0.000019
1768402464.089009,0.002255,0.000018
1768402464.413811,0.002001,0.000020
1768402464.4140399,0.002594,0.000018
1768402464.4177783,0.002250,0.000018
1768402464.5879555,0.002151,0.000018
1768402464.919742,0.002355,0.000018
1768402464.9224033,0.002063,0.000020
1768402464.9231002,0.002003,0.000019
1768402465.503579,0.002274,0.000018
1768402465.8468766,0.002194,0.000017
1768402465.8475301,0.002320,0.000020
1768402465.847543,0.002002,0.000018
1768402466.125479,0.002135,0.000018
1768402466.416126,0.001973,0.000018
1768402466.4166913,0.002277,0.000018
1768402466.418311,0.002258,0.000019
1768402466.4244947,0.002210,0.000018
1768402466.715788,0.002262,0.000019
1768402466.71579,0.002156,0.000017
1768402466.71704,0.002186,0.000017
1768402466.7237256,0.002048,0.000019
1768402467.0144145,0.002328,0.000019
1768402467.0144944,0.002337,0.000018
1768402467.0174863,0.002132,0.000018
1768402467.0217009,0.002059,0.000019
1768402467.3128526,0.002282,0.000018
1768402467.315924,0.002180,0.000019
1768402467.316454,0.002366,0.000018
1768402467.3206193,0.002242,0.000018
1768402467.6113603,0.002147,0.000018
1768402467.6115139,0.002466,0.000018
